"S"	"C"	"L"	"R"	"P"	"V"	"JSR"
"AU"	0	0	0.57	0.2	0	1	0.14
"AT"	0.67	1	0.57	1	0.8	0.67	0.71
"BE"	1	0.67	0.43	1	1	0.67	0.57
"CA"	0	0	0.14	0.2	0	1	0.14
"DK"	0	0.67	0.86	0.4	0.4	0	0.29
"FI"	0.67	1	0.71	0.4	0.4	0	0.43
"FR"	1	0.33	0.43	1	0.2	0.33	0.71
"DE"	1	1	0.43	0.6	0.8	1	0.86
"IE"	0.33	0	0.14	1	0.4	0	0.29
"IT"	1	0.33	0.57	1	1	0.33	0.86
"NL"	0	0.67	0.29	0.2	1	0.67	0.71
"NZ"	0.67	0	0.29	0	0	0	0.14
"NO"	0	1	1	0.4	0.6	0	0.86
"PT"	1	0	0.43	1	0.2	0	1
"ES"	1	0	0.71	1	0.6	0.67	1
"SE"	0	1	1	0.4	0.2	0.33	0.86
"CH"	0	0.67	0.14	0.2	0.8	1	0.29
"GB"	1	0	0.29	0	0	0	0.14
"US"	0	0	0	0	0	1	0
