"D"	"C"	"F"	"I"	"L"	"N"	"A"	"O"
"Rhine"	1.00	1.00	0.40	0.00	0.50	0.00	0.50	1.00
"KiWes"	1.00	0.75	0.60	0.00	0.60	0.00	0.90	1.00
"GDBer"	1.00	0.75	0.40	0.00	0.75	0.00	1.00	1.00
"GDBad"	1.00	0.35	0.70	0.80	1.00	1.00	0.40	0.65
"GDFra"	0.60	0.75	0.30	0.00	0.90	0.00	0.75	0.75
"DAhre"	0.75	0.70	0.50	0.00	0.50	0.10	0.30	1.00
"DAnKo"	0.00	0.65	0.40	1.00	0.50	0.60	0.50	0.60
"Hanse"	0.25	1.00	0.30	0.75	0.50	0.00	0.80	1.00
"DNass"	0.60	0.25	0.60	0.90	1.00	0.50	0.50	0.50
"HeDar"	0.70	0.30	0.50	0.75	0.75	0.75	0.50	0.40
"GDWue"	0.30	0.60	0.40	0.25	0.50	0.25	0.30	0.50
"Bavar"	0.60	0.25	0.90	0.75	1.00	1.00	0.40	0.25
"Saxon"	0.40	0.00	0.80	0.75	0.40	1.00	1.00	0.00
"Wuert"	0.80	0.00	1.00	0.80	0.00	0.80	0.60	0.00
