"PROTEST"	"DEMOC"	"ETHFRACT"	"GEOCON"	"POLDIS"	"NATPRIDE"
"GreeksAlbania"	1.46	6.38	0.1	3	2.23	1.9
"LezginsAzerbaijan"	1.92	2.51	0.19	1	0	2.18
"RussiansAzerbaijan"	0.38	2.51	0.19	1	0.46	2.29
"PolesBelarus"	0.31	3.37	0.37	2	0.62	1.96
"RussiansBelarus"	0.31	3.37	0.37	1	0	1.63
"CroatsBosnia"	1.17	3.77	0.68	2	0	1.72
"MuslimsBosnia"	0.92	3.77	0.68	2	0	2.56
"SerbsBosnia"	1.42	3.77	0.68	2	0	2.13
"TurksBulgaria"	1.46	8.56	0.3	2	0	1.79
"RomaBulgaria"	1.31	8.56	0.3	0	3	2.04
"RussiansEstonia"	2.15	8.26	0.51	2	1.77	1.56
"RussiansGeorgia"	1.27	5.98	0.49	1	0.23	2.38
"SardiniansItaly"	0.23	9.65	0.04	3	0	2.11
"SouthTyrolians"	1.31	9.65	0.04	3	0	1.86
"RussiansLatvia"	2.38	8.7	0.59	1	2.62	1.2
"AlbaniansFYROM"	2.36	7.2	0.53	3	1	1.14
"SerbsFYROM"	1.64	7.2	0.53	2	0	2.13
"RomaFYROM"	0.73	7.2	0.53	1	1.36	2.46
"GagauzMoldova"	2	6.96	0.51	3	1.23	1.63
"SlavsMoldova"	1.62	6.96	0.51	1	0	1.52
"HungariansRom"	1.69	7.71	0.3	3	1.92	1.66
"BasquesSpain"	2.77	9.71	0.5	3	0	1.34
"CatalansSpain"	1.62	9.71	0.5	3	0	2.11
"CatholicsNIreland"	2.54	9.65	0.32	3	1	1.86
"ScotsUK"	1.31	9.65	0.32	3	0	2.16
"CrimRussiansUkr"	2.54	6.92	0.42	3	0	0.58
"RussiansUkraine"	1.54	6.92	0.42	3	0	1.28
"HungariansYugo"	2.38	3.67	0.8	3	3	1.41
"KosovoAlbanians"	3.38	3.67	0.8	3	2.62	1.38
