"S"	"C"	"L"	"R"	"P"	"V"	"JSR"
"AU"	0.00	0.00	0.57	0.20	0.00	1.00	0.14
"AT"	0.67	1.00	0.57	1.00	0.80	0.67	0.71
"BE"	1.00	0.67	0.43	1.00	1.00	0.67	0.57
"CA"	0.00	0.00	0.14	0.20	0.00	1.00	0.14
"DK"	0.00	0.67	0.86	0.40	0.40	0.00	0.29
"FI"	0.67	1.00	0.71	0.40	0.40	0.00	0.43
"FR"	1.00	0.33	0.43	1.00	0.20	0.33	0.71
"DE"	1.00	1.00	0.43	0.60	0.80	1.00	0.86
"IE"	0.33	0.00	0.14	1.00	0.40	0.00	0.29
"IT"	1.00	0.33	0.57	1.00	1.00	0.33	0.86
"NL"	0.00	0.67	0.29	0.20	1.00	0.67	0.71
"NZ"	0.67	0.00	0.29	0.00	0.00	0.00	0.14
"NO"	0.00	1.00	1.00	0.40	0.60	0.00	0.86
"PT"	1.00	0.00	0.43	1.00	0.20	0.00	1.00
"ES"	1.00	0.00	0.71	1.00	0.60	0.67	1.00
"SE"	0.00	1.00	1.00	0.40	0.20	0.33	0.86
"CH"	0.00	0.67	0.14	0.20	0.80	1.00	0.29
"GB"	1.00	0.00	0.29	0.00	0.00	0.00	0.14
"US"	0.00	0.00	0.00	0.00	0.00	1.00	0.00
