"PA"	"SC"	"OI"	"MC"	"SA"
"SMA"	0.00	0.00	1.00	1.00	1.00
"TEC"	0.00	0.00	1.00	0.50	0.50
"SIL"	0.00	0.00	0.66	0.00	0.00
"NUC"	0.00	0.50	0.33	1.00	1.00
"FUS"	0.00	0.50	0.33	1.00	0.50
"SCI"	0.00	0.50	0.33	0.00	0.00
"EXC"	0.66	1.00	0.33	1.00	1.00
"RES"	0.66	1.00	0.33	1.00	0.00
"MIN"	0.66	1.00	0.00	0.50	0.00
"POW"	0.66	1.00	1.00	0.50	1.00
"ENE"	0.66	1.00	0.33	0.00	0.50
"HIG"	1.00	0.00	0.33	1.00	1.00
"CAP"	1.00	0.00	0.66	0.50	0.50
"EDI"	1.00	0.00	1.00	0.00	1.00
"CON"	1.00	0.00	0.00	0.00	0.00
"DRU"	0.33	0.50	1.00	0.00	1.00
"MED"	0.33	0.50	0.00	1.00	0.50
