"LG"	"CG"	"PS"	"UD"	"WM"	"CO"
"AT20"	0	0	1	0	1	1
"AU20"	0	0	0	0	1	0
"BE20"	0	1	1	1	1	1
"CA20"	1	0	0	0	0	0
"CH20"	1	0	0	0	0	0
"DE20"	0	0	1	0	1	1
"DK20"	1	0	1	1	1	1
"FR20"	1	0	1	1	0	0
"IT20"	0	0	1	0	1	1
"NL20"	0	1	1	1	0	1
"NO20"	1	0	0	1	0	0
"NZ20"	1	0	0	1	0	0
"SE20"	1	0	1	1	1	1
"UK20"	1	0	0	1	1	1
"US20"	1	0	0	0	0	0
"JP20"	0	0	1	0	0	0
"AT29"	0	1	1	0	1	1
"AU29"	0	0	0	0	1	0
"BE29"	0	1	1	1	1	0
"CA29"	1	0	0	0	0	0
"CH29"	1	0	0	0	1	0
"DE29"	0	1	1	0	1	1
"DK29"	1	0	1	1	1	1
"FR29"	1	1	1	1	0	0
"IT29"	1	0	1	0	0	0
"NL29"	0	1	1	1	1	0
"NO29"	1	0	0	1	0	0
"NZ29"	1	0	0	1	1	1
"SE29"	1	0	1	1	1	1
"UK29"	1	0	0	1	1	1
"US29"	1	0	0	0	0	0
